sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-ZVE2-1326-SM-5NQ94,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,5.767
TCGA-CC-A7IG-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,3.331
TCGA-DM-A0X9-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,7.68
GTEX-13S7M-0326-SM-5S2PH,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.388
TCGA-GC-A3YS-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,7.028
TCGA-DM-A28G-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,8.195
TCGA-OR-A5LG-01,TCGA,Adrenocortical Cancer,Primary Tumor,Adrenocortical Cancer,-0.2671
GTEX-PLZ5-0426-SM-3P612,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-1.392
GTEX-R55C-1626-SM-48FEG,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,-0.5125
TCGA-VD-A8KH-01,TCGA,Uveal Melanoma,Primary Tumor,Uveal Melanoma,-2.245
TCGA-E2-A14R-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.002
TCGA-AN-A0XW-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,5.943
TCGA-CJ-4918-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,2.818
TCGA-K4-A54R-11,TCGA,Bladder Urothelial Carcinoma,Solid Tissue Normal,Bladder Urothelial Carcinoma,11.28
TARGET-30-PANKFE-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,0.5666
TCGA-A8-A07J-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.792
GTEX-UPIC-1026-SM-4IHLT,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,8.285
