sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
TCGA-SR-A6MR-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.086
TCGA-QR-A70I-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.639
TCGA-HQ-A2OF-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,9.795
GTEX-13OW7-0126-SM-5MR3B,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.987
TCGA-B5-A5OC-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,7.215
GTEX-13PL7-1226-SM-5SIAR,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-0.7588
GTEX-13O61-1626-SM-5KM3T,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,0.5763
GTEX-P44G-0011-R7A-SM-2I3F9,GTEX,Brain - Putamen (Basal Ganglia),Normal Tissue,Brain - Putamen (Basal Ganglia),-2.635
GTEX-ZLWG-1026-SM-4WWC4,GTEX,Uterus,Normal Tissue,Uterus,-0.6193
GTEX-S33H-0326-SM-4AD6N,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,3.757
GTEX-ZDXO-3126-SM-5IJDF,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),6.774
GTEX-S32W-0426-SM-4AD6H,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-2.388
TCGA-44-2655-11,TCGA,Lung Adenocarcinoma,Solid Tissue Normal,Lung Adenocarcinoma,7.071
TCGA-G4-6322-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.555
TCGA-DD-AADK-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-0.3752
TCGA-W5-AA2U-01,TCGA,Cholangiocarcinoma,Primary Tumor,Cholangiocarcinoma,7.486
GTEX-13OW6-1126-SM-5L3HL,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.114
TCGA-CN-6013-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,7.047
TCGA-BH-A0BC-11,TCGA,Breast Invasive Carcinoma,Solid Tissue Normal,Breast Invasive Carcinoma,7.306
TCGA-G2-AA3F-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,9.864
TCGA-85-7697-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.15
TCGA-DD-A4NN-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,5.81
TARGET-10-PARACA-09,TARGET,Acute Lymphoblastic Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-2.932
TCGA-GI-A2C9-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.109
GTEX-VUSG-1526-SM-4KKZH,GTEX,Adrenal Gland,Normal Tissue,Adrenal Gland,-2.548
TCGA-EL-A3GY-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.498
TCGA-ET-A3BU-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.59
TCGA-B7-5816-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,6.427
TCGA-CN-6995-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,7.771
TCGA-XF-A9SM-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,6.398
TCGA-FD-A5C0-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,10.22
TCGA-QH-A65V-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.315
GTEX-R55F-0011-R6A-SM-2TF4L,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-3.626
TCGA-AB-2929-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-1.938
GTEX-P4PQ-0626-SM-3NMCU,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.757
GTEX-YEC4-2326-SM-5IFHV,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-0.8863
TCGA-FD-A5BZ-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,9.547
TCGA-ER-A19H-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-1.318
GTEX-XMD2-0926-SM-4WWEF,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,7.393
TCGA-ZM-AA06-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,1.322
TCGA-VS-A9UD-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.343
GTEX-YJ89-0011-R8b-SM-4SOK8,GTEX,Brain - Hypothalamus,Normal Tissue,Brain - Hypothalamus,0.6699
TCGA-29-1690-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.104
GTEX-XBEW-0726-SM-4QARX,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.0854
TCGA-A7-A3IZ-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.113
GTEX-12WSM-0005-SM-5NQB3,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.012
TCGA-F4-6854-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.095
TCGA-KB-A93J-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,6.152
TCGA-HC-8260-11,TCGA,Prostate Adenocarcinoma,Solid Tissue Normal,Prostate Adenocarcinoma,6.612
TCGA-CJ-4642-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,6.993
TCGA-CD-A4MH-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.802
GTEX-11DXY-3026-SM-5N9CB,GTEX,Pituitary,Normal Tissue,Pituitary,4.139
TCGA-EM-A1YC-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,7.437
TCGA-DC-5869-01,TCGA,Rectum Adenocarcinoma,Primary Tumor,Rectum Adenocarcinoma,9.823
TCGA-5N-A9KM-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.311
TCGA-EE-A2MC-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-0.5332
GTEX-12WSJ-1826-SM-5GCNY,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),8.052
TCGA-S7-A7X2-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.781
TCGA-KS-A41L-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,6.047
TCGA-44-7669-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,7.29
GTEX-RU72-1126-SM-2TF6H,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.4325
TCGA-A6-A565-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.645
GTEX-12WSC-0926-SM-5EQ63,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,-1.685
TCGA-DU-A7TG-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.781
TCGA-51-4080-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.493
TCGA-AO-A12D-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,9.256
TCGA-RW-A68F-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-0.9971
GTEX-ZE9C-2126-SM-4WKGY,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,-0.6873
GTEX-ZVT2-1626-SM-51MRC,GTEX,Stomach,Normal Tissue,Stomach,1.6
TCGA-25-1320-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.787
GTEX-13OW8-1326-SM-5J1OW,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.094
TCGA-A5-A2K5-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,5.969
TCGA-TQ-A7RV-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.431
GTEX-11EQ8-0526-SM-5N9BC,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.308
GTEX-TSE9-0011-R1A-SM-3DB7E,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-0.9686
TCGA-UF-A7JO-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.98
GTEX-XQ8I-0226-SM-4BOPM,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-3.047
GTEX-12ZZW-0011-R6a-SM-5DUVZ,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-2.245
TARGET-20-PARUWX-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-6.506
TCGA-CH-5791-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.801
TCGA-5P-A9JV-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,6.168
TCGA-AG-4021-01,TCGA,Rectum Adenocarcinoma,Primary Tumor,Rectum Adenocarcinoma,8.534
GTEX-XPVG-2526-SM-4B66D,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.171
GTEX-QLQ7-0008-SM-447AW,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,-0.8339
TCGA-91-6831-11,TCGA,Lung Adenocarcinoma,Solid Tissue Normal,Lung Adenocarcinoma,7.06
TCGA-DD-A11A-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,4.831
GTEX-WY7C-0008-SM-4ONDW,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,0.4865
TARGET-30-PANGXK-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,-0.3566
TCGA-ER-A19L-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-1.026
GTEX-13113-2126-SM-5EQ4U,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-0.8599
TCGA-DU-5874-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.685
GTEX-XGQ4-1226-SM-4AT67,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,7.83
TCGA-60-2710-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.864
TCGA-DD-A39W-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-5.012
TCGA-58-8392-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.746
TCGA-L6-A4ET-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.428
GTEX-RU72-1026-SM-46MUG,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,1.455
TCGA-WE-A8K6-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,1.532
TCGA-IP-7968-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.314
TARGET-21-PATHIU-09,TARGET,"Acute Myeloid Leukemia, Induction Failure Subproject",Primary Blood Derived Cancer - Bone Marrow,"Acute Myeloid Leukemia, Induction Failure Subproject",-3.171
TCGA-YL-A8SH-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.628
TCGA-AB-2810-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-5.012
TCGA-RW-A681-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,0.2522
TCGA-CZ-5454-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,6.282
TCGA-DE-A0Y3-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.631
TCGA-EA-A3HR-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.557
TCGA-EW-A1PC-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.965
GTEX-S4Z8-0226-SM-4AD5K,GTEX,Spleen,Normal Tissue,Spleen,-0.6643
GTEX-11UD2-2826-SM-5GU6X,GTEX,Testis,Normal Tissue,Testis,0.517
GTEX-N7MS-0011-R1a-SM-2HMJG,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-1.026
GTEX-139T6-0826-SM-5J1O2,GTEX,Esophagus - Gastroesophageal Junction,Normal Tissue,Esophagus - Gastroesophageal Junction,-2.053
TCGA-B5-A1MS-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,8.442
TCGA-E2-A1LA-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.193
TCGA-BJ-A0ZE-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,6.438
GTEX-139D8-1426-SM-5IJEX,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,0.6145
TCGA-AX-A3FV-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,6.128
GTEX-Y8E4-0126-SM-4VBQ2,GTEX,Thyroid,Normal Tissue,Thyroid,7.459
TCGA-BB-A5HZ-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,7.626
TCGA-QR-A70M-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.831
GTEX-13CF2-2826-SM-5LZX9,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-1.392
GTEX-U3ZM-1526-SM-3DB9D,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.689
GTEX-QEL4-1526-SM-447AB,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.8084
TCGA-AJ-A8CV-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,8.381
TCGA-EM-A22I-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.704
GTEX-Q2AG-0011-R3A-SM-2HMJ9,GTEX,Brain - Anterior Cingulate Cortex (Ba24),Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),-0.013
TCGA-K4-A5RJ-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,0.7748
GTEX-T6MN-0011-R6A-SM-5CHQD,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-9.966
TCGA-UF-A7JK-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,3.444
TCGA-D8-A143-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.042
GTEX-ZT9W-0526-SM-57WFG,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-1.884
TCGA-X7-A8M3-01,TCGA,Thymoma,Primary Tumor,Thymoma,1.527
GTEX-14A5I-1726-SM-5QGQ5,GTEX,Liver,Normal Tissue,Liver,-0.6873
TCGA-BJ-A28R-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.699
GTEX-12WSB-3026-SM-59HKM,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,0.5666
TCGA-A6-A56B-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,8.833
TCGA-B0-5702-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.118
TCGA-BP-5191-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,3.81
TCGA-95-A4VN-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.097
TCGA-EE-A2A5-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-2.053
GTEX-WFG8-1726-SM-4LVM6,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,1.647
GTEX-Y8LW-0005-SM-4V6EV,GTEX,Whole Blood,Normal Tissue,Whole Blood,-4.608
GTEX-ZAB4-0126-SM-5CVMG,GTEX,Testis,Normal Tissue,Testis,-0.1828
TCGA-OR-A5L6-01,TCGA,Adrenocortical Cancer,Primary Tumor,Adrenocortical Cancer,-1.117
GTEX-RU1J-0226-SM-2TF5Y,GTEX,Thyroid,Normal Tissue,Thyroid,6.13
GTEX-13O61-2426-SM-5J1NV,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,-1.781
TCGA-B6-A0I5-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.013
GTEX-ZVT3-2726-SM-5GU5X,GTEX,Vagina,Normal Tissue,Vagina,3.362
GTEX-ZTPG-0008-SM-4YCEK,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,-0.5543
TCGA-AR-A24R-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.193
TCGA-50-5935-11,TCGA,Lung Adenocarcinoma,Solid Tissue Normal,Lung Adenocarcinoma,6.727
GTEX-ZF3C-0526-SM-4WWBG,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.431
TCGA-QH-A6X4-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.685
GTEX-11TUW-1326-SM-5EQKV,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.679
TARGET-20-PASGGK-03,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-4.608
GTEX-14E6C-0326-SM-5Q5EE,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-3.171
GTEX-UJHI-1526-SM-3DB99,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.839
GTEX-1399Q-1126-SM-5P9JA,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.161
GTEX-1128S-0826-SM-5GZZI,GTEX,Pancreas,Normal Tissue,Pancreas,4.741
GTEX-ZVP2-1826-SM-5GU62,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.8726
TCGA-TQ-A8XE-02,TCGA,Brain Lower Grade Glioma,Recurrent Tumor,Brain Lower Grade Glioma,-2.114
GTEX-11UD2-0126-SM-5EQL2,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.9862
GTEX-PVOW-0626-SM-2XCF6,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-1.117
GTEX-S33H-1826-SM-4AD65,GTEX,Prostate,Normal Tissue,Prostate,7.455
TCGA-18-3407-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.262
TARGET-20-PALGKX-04,TARGET,Acute Myeloid Leukemia,Recurrent Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-5.012
GTEX-Z93S-2826-SM-57WBL,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,0.8961
GTEX-TSE9-0626-SM-3DB8B,GTEX,Thyroid,Normal Tissue,Thyroid,7.743
TCGA-WB-A80O-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.938
TCGA-49-4494-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.056
TCGA-49-6745-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.247
TCGA-KL-8333-01,TCGA,Kidney Chromophobe,Primary Tumor,Kidney Chromophobe,7.186
TCGA-PR-A5PH-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-6.506
TCGA-2A-A8VO-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.032
TCGA-DD-AAD0-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-5.012
TARGET-20-PALGKX-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-9.966
GTEX-ZE9C-3026-SM-4WKHB,GTEX,Brain - Cortex,Normal Tissue,Brain - Cortex,0.2522
TCGA-F7-A61S-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.961
TCGA-DS-A1OC-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,9.352
TCGA-YS-A95C-01,TCGA,Mesothelioma,Primary Tumor,Mesothelioma,-0.8599
TCGA-A8-A07Z-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.426
TCGA-G9-6378-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.24
GTEX-PX3G-0926-SM-48U12,GTEX,Spleen,Normal Tissue,Spleen,0.8568
TCGA-LA-A446-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.624
GTEX-12WSJ-0005-SM-5LU8S,GTEX,Whole Blood,Normal Tissue,Whole Blood,-4.293
TCGA-AB-2836-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-4.035
GTEX-WI4N-0626-SM-3TW8Z,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.932
TCGA-CZ-4854-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.769
TCGA-IA-A83S-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,8.581
TCGA-S7-A7WU-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-0.2845
TCGA-EK-A2PM-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,4.457
TCGA-D7-A4YY-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.288
TCGA-DJ-A3VB-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.679
TCGA-AY-A54L-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,10.03
GTEX-ZF28-0011-R3a-SM-4WWDA,GTEX,Brain - Anterior Cingulate Cortex (Ba24),Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),-1.47
TCGA-KN-8437-11,TCGA,Kidney Chromophobe,Solid Tissue Normal,Kidney Chromophobe,8.371
TARGET-50-CAAAAR-11,TARGET,Wilms Tumor,Solid Tissue Normal,Wilms Tumor,6.824
TCGA-VD-A8KB-01,TCGA,Uveal Melanoma,Primary Tumor,Uveal Melanoma,-3.626
TCGA-F2-6880-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,4.072
TCGA-05-4424-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,7.68
TCGA-VM-A8CB-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-0.6193
TCGA-96-8169-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.519
TCGA-DD-AAVS-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,6.77
TCGA-P7-A5NY-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-3.171
GTEX-O5YV-1126-SM-3LK73,GTEX,Adrenal Gland,Normal Tissue,Adrenal Gland,-0.4325
TCGA-KK-A6E1-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.214
TARGET-20-PANVGP-03,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-5.574
GTEX-117YW-2426-SM-5Q5AE,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.171
TCGA-EX-A449-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.777
TCGA-BR-7959-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.908
GTEX-XMD3-0008-SM-4AT4V,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,0.4233
TCGA-CN-A6V7-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,7.26
GTEX-ZV68-0126-SM-59HKS,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.964
TCGA-2J-AABH-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,8.91
TCGA-73-7499-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.33
GTEX-13SLX-0011-R6a-SM-5PNX4,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-1.149
TCGA-A2-A0YF-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.433
TCGA-XF-A9SY-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,4.977
GTEX-13N1W-0011-R3a-SM-5MR5E,GTEX,Brain - Anterior Cingulate Cortex (Ba24),Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),-0.1031
GTEX-X15G-1626-SM-3NMB3,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,6.709
