scFv,CLDN4,CLDN1,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN18.2,CLDN19,CLDN2,CLDN20,CLDN22,CLDN23,CLDN24,CLDN25,CLDN3,CLDN34,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9
scfv_73_0,0.8463449408058364,0.3860837429552791,0.3235330644958488,0.4750005957667578,0.2701517286235669,0.3467487929316869,0.2609306290754291,0.6721715427795752,0.2745229972593936,0.4315716977917279,0.797989494098358,0.4785906463282042,0.3713133231344451,0.2578498637002357,0.4256308164375573,0.2843718950707945,0.3797241079819556,0.4237419423032709,0.3828455166577861,0.1992090792751598,0.279509657215675,0.2540647576866286,0.3656310226338792,0.4007319326475115,0.2385296352614449
scfv_73_2,0.3558634788698923,0.2834499901406832,0.2620552820049522,0.3751575100533492,0.4636391134267737,0.3719784039476252,0.2613476592081734,0.4190253484547543,0.4306872635754404,0.3482275287277594,0.4421525143585322,0.3782708743544233,0.3469828102602634,0.2139591796444688,0.3024239838258412,0.1509214937097817,0.28785975505505,0.3572388605185542,0.264381869088358,0.2843988097071486,0.270518658589147,0.3589283824004837,0.3008397144456097,0.4250029160915282,0.3517094308293423
scfv_73_5,0.3943511817263038,0.5020122858060461,0.2890058495837624,0.1883961089320794,0.3268858071340809,0.4674211054241671,0.2353122362184033,0.5039396222840179,0.2175174121202833,0.1782598087123356,0.3719898834617385,0.7117094308293423,0.3401181498302983,0.3722898232869839,0.2699214102566504,0.280173740481157,0.2481132047843745,0.324295206108651,0.4844887322628783,0.5541173941409107,0.5353249956465201,0.4107425306439121,0.7420846411334788,0.5836633172210963,0.3189345076939812
scfv_73_9,0.2027280302879075,0.257287334032156,0.5728157966092716,0.5253225267173325,0.2842266000981363,0.3551123649542759,0.2866163040006347,0.4599733266363371,0.3085062889269509,0.312352846606135,0.3583839784671958,0.3450950475797996,0.3946082870638704,0.308383734354826,0.4313232856699945,0.4017882424030351,0.4323053834230865,0.4901014731815609,0.2515872783470596,0.2841871043534576,0.2084791124151649,0.3342815783632783,0.4048460584822302,0.5307093277149535,0.2966642523321156
scfv_77_1,0.5639770027406064,0.2994854459672567,0.692671739226561,0.3921371320857251,0.2757667470179259,0.4031632234709795,0.2386681513016269,0.374345194111035,0.4108348905672581,0.3572314667382567,0.3690383354180686,0.3377581477961749,0.3933757226644092,0.2689771518616684,0.2118057696125042,0.450400132051473,0.1787814793062273,0.1759632027056286,0.7180402124424355,0.7877484719741014,0.3845632597026508,0.3975483096114565,0.3053352243659383,0.4472642834363781,0.2054122128249773
scfv_77_6,0.549847324163431,0.574768336805314,0.6809605212571881,0.3789823144693186,0.3125410462311752,0.2716095755482662,0.3969693283590144,0.3337107603408004,0.3865458634160109,0.2173811962463241,0.3444869964403643,0.3474982077454654,0.3389508407421542,0.3079345915753732,0.2729716930138214,0.3952104081643299,0.2264736917789227,0.2388827063599694,0.3365907519687307,0.3714876779745272,0.2779756739293402,0.2558298527554815,0.332383746915121,0.2074500893057762,0.2924778216439335
scfv_7_9,0.3343211161487375,0.8164778686911685,0.3299067757159485,0.3867481834669859,0.3639769136339025,0.3454921023040261,0.3291601032398416,0.3143023333810144,0.3100113638374703,0.3202302706712649,0.2474478425481349,0.2722131788260976,0.3316116913633746,0.2893376413190847,0.3268420800477138,0.1928827063599694,0.354798605289418,0.4076306953523199,0.1954096819096964,0.2213164216015121,0.2796095755482662,0.2681503750808577,0.3249229293426495,0.3744999975330091,0.3201450485854177
scfv_83_1,0.4011795925129859,0.1811395878107256,0.3763281204588028,0.2457768032920151,0.3211237397750929,0.4597068306823493,0.1553459742335047,0.8641084954162364,0.3127669301144151,0.2952424134934306,0.3833684320153464,0.6332921666382005,0.3430153920256105,0.2755284353244062,0.329787750561374,0.2195699187325129,0.3601823645894387,0.3210132971398183,0.2938296038029048,0.3326835783984878,0.5182370608009096,0.280847807179992,0.3233488233846706,0.3048907454998991,0.2939298024410988
scfv_83_2,0.3113423879833565,0.280710375053379,0.470545405280562,0.5516058950704952,0.4401995299300533,0.3941927647206777,0.2735421606561009,0.676209077564808,0.4315838632061878,0.208027181360828,0.6331542101432628,0.3596597668166773,0.4374017123867721,0.1971786510455256,0.5375527744863209,0.602847807179992,0.3290851179245408,0.3836922965069851,0.4407897186891166,0.3533775182397528,0.3088951409021303,0.3808798080837983,0.2825184266906293,0.4178689899214939,0.3864615109032877
scfv_85_8,0.4013394983289454,0.34813613545459,0.6581137314437601,0.3829457722082456,0.3184919109904195,0.5172972755580978,0.5123670492126318,0.3657683357534614,0.1886869096388386,0.5918775146399089,0.4090972021818362,0.3514798232038197,0.3463690437591751,0.3771839033740323,0.3629773860214882,0.0987799046779649,0.3601539479872814,0.3521938274318248,0.6176623233577299,0.5986160154248454,0.3221115229249108,0.3030646470270602,0.8147463106511943,0.3984253986935312,0.4159910890063009
